Slide 001 Tile Summary:
Original Dimensions: 15980x18263
Original Tile Size: 1024x1024
Scale Factor: 1/32x
Scaled Dimensions: 499x570
Scaled Tile Size: 32x32
Total Mask: 80.19%, Total Tissue: 19.81%
Tiles: 16x18 = 288
    30 (10.42%) tiles >=80% tissue
    63 (21.88%) tiles >=10% and <80% tissue
    20 ( 6.94%) tiles >0% and <10% tissue
   175 (60.76%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Original Col Start,Original Row Start,Original Col End,Original Row End,Original Col Size,Original Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1,1,1,0.00,NONE,0,0,32,32,32,32,0,0,1024,1024,1024,1024,   0,0.16,0.00,0.0000
2,1,2,0.00,NONE,32,0,64,32,32,32,1025,0,2049,1024,1024,1024,   0,0.16,0.00,0.0000
3,1,3,0.00,NONE,64,0,96,32,32,32,2050,0,3074,1024,1024,1024,   0,0.16,0.00,0.0000
4,1,4,0.00,NONE,96,0,128,32,32,32,3074,0,4098,1024,1024,1024,   0,0.16,0.00,0.0000
5,1,5,0.00,NONE,128,0,160,32,32,32,4099,0,5123,1024,1024,1024,   0,0.16,0.00,0.0000
6,1,6,0.00,NONE,160,0,192,32,32,32,5124,0,6148,1024,1024,1024,   0,0.16,0.00,0.0000
7,1,7,0.00,NONE,192,0,224,32,32,32,6149,0,7173,1024,1024,1024,   0,0.16,0.00,0.0000
8,1,8,0.00,NONE,224,0,256,32,32,32,7173,0,8197,1024,1024,1024,   0,0.16,0.00,0.0000
9,1,9,0.00,NONE,256,0,288,32,32,32,8198,0,9222,1024,1024,1024,   0,0.16,0.00,0.0000
10,1,10,0.00,NONE,288,0,320,32,32,32,9223,0,10247,1024,1024,1024,   0,0.16,0.00,0.0000
11,1,11,0.00,NONE,320,0,352,32,32,32,10248,0,11272,1024,1024,1024,   0,0.16,0.00,0.0000
12,1,12,0.00,NONE,352,0,384,32,32,32,11272,0,12296,1024,1024,1024,   0,0.16,0.00,0.0000
13,1,13,0.00,NONE,384,0,416,32,32,32,12297,0,13321,1024,1024,1024,   0,0.16,0.00,0.0000
14,1,14,0.00,NONE,416,0,448,32,32,32,13322,0,14346,1024,1024,1024,   0,0.16,0.00,0.0000
15,1,15,0.00,NONE,448,0,480,32,32,32,14347,0,15371,1024,1024,1024,   0,0.16,0.00,0.0000
16,1,16,0.00,NONE,480,0,499,32,19,32,15372,0,15980,1024,608,1024,   0,0.16,0.00,0.0000
17,2,1,0.00,NONE,0,32,32,64,32,32,0,1025,1024,2050,1024,1025,   0,0.16,0.00,0.0000
18,2,2,0.00,NONE,32,32,64,64,32,32,1025,1025,2049,2050,1024,1025,   0,0.16,0.00,0.0000
19,2,3,0.00,NONE,64,32,96,64,32,32,2050,1025,3074,2050,1024,1025,   0,0.16,0.00,0.0000
